"shortnam","baseco","logpgp95","avexpr","logem4","asia","africa","lat_abst","meantemp","humid","malfal94","f_brit","f_french"
"JAM",1,8.18868923187256,7.09090900421143,4.86753463745117,0,0,0.201666668057442,26.5,74.75,0,1,0
"JOR",NA,8.17188167572021,6.77272748947144,NA,1,0,0.344444453716278,NA,50.75,0,1,0
"JPN",NA,10.0340766906738,9.72727298736572,NA,1,0,0.400000005960464,NA,70,0,0,0
"KAZ",NA,8.13153076171875,NA,NA,1,0,0.533333361148834,NA,65.75,0,0,0
"KEN",1,7.05617523193359,6.04545450210571,4.97673368453979,0,1,0.0111111113801599,22.6000003814697,66.25,0.797999978065491,1,0
"KGZ",NA,7.57558488845825,NA,NA,1,0,0.455555558204651,NA,65.75,0,0,0
"KOR",NA,9.41572761535645,8.6363639831543,4.77068471908569,1,0,0.411111116409302,NA,70.25,0,0,0
"KWT",NA,9.80366706848145,7.04545450210571,NA,1,0,0.3255555331707,NA,57,0,1,0
"LAO",NA,7.09007692337036,NA,4.94164228439331,1,0,0.200000002980232,NA,79,0.86300003528595,0,1
"LBR",NA,NA,3.63636374473572,6.18001651763916,0,1,0.0700000002980232,NA,86,0.949999988079071,0,0
"LBY",NA,NA,5.27272748947144,NA,0,1,0.277777791023254,NA,62.75,0,0,0
"LKA",1,7.73193073272705,6.04545450210571,4.24563407897949,1,0,0.0777777805924416,27.6000003814697,73.75,0.137999996542931,1,0
"LSO",NA,7.30653142929077,NA,NA,0,1,0.3255555331707,NA,48.25,0,1,0
"LTU",NA,8.2374792098999,NA,NA,0,0,0.622222244739532,NA,77,0,0,0
"LUX",NA,10.2887496948242,10,NA,0,0,0.549444437026978,NA,82.25,0,0,0
"LVA",NA,8.15478801727295,NA,NA,0,0,0.633333325386047,NA,77,0,0,0
"MAR",1,8.04237842559814,7.09090900421143,4.35926961898804,0,1,0.355555564165115,18.5,77.5,0,0,1
"MDA",NA,7.37775897979736,NA,NA,0,0,0.522222220897675,NA,73.75,0,0,0
"MDG",1,6.8351845741272,4.45454549789429,6.28420877456665,0,1,0.222222223877907,23.2999992370605,74.75,0.949999988079071,0,1
"MEX",1,8.94376754760742,7.5,4.26268005371094,0,0,0.25555557012558,19,58,0.000419999996665865,0,0
"MKD",NA,8.06148719787598,NA,NA,0,0,0.461111098527908,NA,71.5,0,0,0
"MLI",1,6.56526517868042,4,7.98616504669189,0,1,0.188888892531395,29.2999992370605,54.5,0.940500020980835,0,1
"MLT",1,9.42706298828125,7.22727251052856,2.7911651134491,0,0,0.394444435834885,NA,69,NA,1,0
"MMR",NA,NA,5.77272748947144,3.54385352134705,1,0,0.244444444775581,NA,75,0.654359996318817,1,0
"MNG",NA,7.29979753494263,7.36363649368286,NA,1,0,0.51111114025116,NA,66.75,0,0,0
"MOZ",NA,6.46146821975708,6.5,NA,0,1,0.201666668057442,NA,66,0.949999988079071,0,0
"MRT",NA,7.41457271575928,NA,5.63478946685791,0,1,0.222222223877907,NA,59.5,0.759999990463257,0,1
"MUS",NA,9.05368614196777,NA,3.41772675514221,0,1,0.224111109972,NA,75,0,1,0
"MWI",NA,6.46146821975708,6.81818199157715,NA,0,1,0.147777780890465,NA,58.25,0.949999988079071,1,0
"MYS",1,8.89425849914551,7.95454549789429,2.87356472015381,1,0,0.0255555547773838,26.7000007629395,79,0.233309999108315,1,0
"NAM",NA,8.51519107818604,NA,NA,0,1,0.244444444775581,NA,33.75,0.579500019550323,1,0
"NER",1,6.73340177536011,5,5.99146461486816,0,1,0.177777782082558,28.3999996185303,49,0.940500020980835,0,1
"NGA",1,6.8134446144104,5.54545450210571,7.60290050506592,0,1,0.111111111938953,26.6506500244141,78.25,0.949999988079071,1,0
"NIC",1,7.5443320274353,5.22727251052856,5.09558916091919,0,0,0.144444450736046,26.6333293914795,71.5,0.0439999997615814,0,0
"NLD",NA,9.89696598052979,10,NA,0,0,0.581111073493958,NA,79.25,0,0,0
"NOR",NA,10.0239334106445,9.95454502105713,NA,0,0,0.688888907432556,NA,73.25,0,0,0
"NPL",NA,6.9373140335083,NA,NA,1,0,0.311111122369766,NA,73.75,0.0480000004172325,1,0
"NZL",1,9.75614738464355,9.72727298736572,2.14593124389648,0,0,0.455555558204651,12.8000001907349,74.75,0,1,0
"OMN",NA,9.20833873748779,7.13636350631714,NA,1,0,0.233333334326744,NA,70,0.633819997310638,0,0
"PAK",1,7.35244131088257,6.04545450210571,3.61064767837524,1,0,0.333333343267441,23.5,36.5,0.537569999694824,1,0
"PAN",1,8.83637428283691,5.90909099578857,5.09558916091919,0,0,0.100000001490116,27.5,85.5,0.0800400003790855,0,0
"PER",1,8.39615440368652,5.77272748947144,4.26268005371094,0,0,0.111111111938953,20.5,82.75,0.000500000023748726,0,0
"PHL",NA,8.09864330291748,5.45454549789429,NA,1,0,0.144444450736046,NA,76.75,0.616999983787537,0,0
"PNG",NA,NA,7.27272748947144,5.13579845428467,1,0,0.0666666701436043,NA,74.25,0.609879970550537,1,0
"POL",NA,8.65521430969238,7.68181800842285,NA,0,0,0.577777802944183,NA,79,0,0,0
"PRK",NA,NA,NA,NA,0,0,0.444444447755814,NA,71.5,0,0,0
"PRT",NA,9.48948574066162,9.18181800842285,NA,0,0,0.436666667461395,NA,66.75,0,0,0
"PRY",1,8.20794677734375,6.95454549789429,4.35799026489258,0,0,0.25555557012558,23,68,0,0,0
"QAT",NA,9.68533134460449,7.72727251052856,NA,1,0,0.281111091375351,NA,66.75,0,1,0
"ROM",NA,8.3870849609375,7.27272748947144,NA,0,0,0.51111114025116,NA,73.5,0,0,0
"RUS",NA,8.40514373779297,8.45454502105713,NA,0,0,0.666666686534882,NA,67.75,0,0,0
"RWA",NA,6.47697257995605,NA,5.63478946685791,0,1,0.0222222227603197,NA,71,0.949999988079071,0,0
"SAU",NA,9.23989963531494,7.59090900421143,NA,1,0,0.277777791023254,NA,40.25,0.104940004646778,0,0
"SDN",1,7.30653142929077,4,4.47960710525513,0,1,0.16666667163372,28.5,34,0.930999994277954,1,0
"SEN",1,7.40245151519775,6,5.10388278961182,0,1,0.155555561184883,27.2000007629395,69.25,0.949999988079071,0,1
"SGP",1,10.1464338302612,9.31818199157715,2.87356472015381,1,0,0.0135555556043983,27.1000003814697,76.5,0,1,0
"SLE",1,6.25382900238037,5.81818199157715,6.18001651763916,0,1,0.0922222211956978,26.2000007629395,76.25,0.949999988079071,1,0
"SLV",1,7.94803190231323,5,4.35799026489258,0,0,0.150000005960464,23.5710105895996,69.5,0,0,0
"SOM",NA,NA,3,NA,0,1,0.111111111938953,NA,79.5,0.949999988079071,1,0
